pearson
,beds,baths,sq__ft,price
beds,1.0,0.8389868880834507,0.6832531197571601,0.3574648309741872
baths,0.8389868880834507,1.0,0.6646151699536862,0.4212380639330103
sq__ft,0.6832531197571601,0.6646151699536862,1.0,0.36223321817416315
price,0.3574648309741872,0.4212380639330103,0.36223321817416315,1.0

kendall
,beds,baths,sq__ft,price
beds,1.0,0.7117798541708432,0.5918649113269597,0.3305499808895439
baths,0.7117798541708432,1.0,0.5751338948266811,0.36790840393166324
sq__ft,0.5918649113269597,0.5751338948266811,1.0,0.35659152513939735
price,0.3305499808895439,0.36790840393166324,0.35659152513939735,1.0

spearman
,beds,baths,sq__ft,price
beds,1.0,0.7632281993713969,0.6825216969722,0.40763497925982756
baths,0.7632281993713969,1.0,0.6600161412026607,0.4429999690613749
sq__ft,0.6825216969722,0.6600161412026607,1.0,0.43349428493247244
price,0.40763497925982756,0.4429999690613749,0.43349428493247244,1.0

